"setting_id","truth_type","reader_miss","z_miss","replicate","mean_key_rhat","max_key_rhat","mean_bulk_ess","min_bulk_ess"
"S1","correct",0.1,0,1,1.00658845121702,1.03031077623675,1548.87483651665,206.289590642441
"S1","correct",0.1,0,2,1.00535766976283,1.01714769379358,2024.4750566958,292.601393279505
"S1","correct",0.1,0,3,1.01529717333229,1.04910801877795,1647.22401603568,106.548881998391
"S1","correct",0.1,0,4,1.01219680560393,1.04790959886148,848.665761819343,77.8467531554802
"S1","correct",0.1,0,5,1.00375347165451,1.01708917962767,1299.89136245845,300.492944158562
"S1","correct",0.1,0,6,1.01034442829174,1.03100411416024,1337.73929533524,181.103478516224
"S1","correct",0.1,0,7,1.0047305357358,1.01031671924331,1802.52302473812,429.070160821589
"S1","correct",0.1,0,8,1.00458921882864,1.01169633800828,1229.38716207726,377.19789853807
"S1","correct",0.1,0,9,1.0061235701185,1.01619284380697,1155.2044538945,176.762261388526
"S1","correct",0.1,0,10,1.00571636462846,1.01007996794255,1551.00387794228,178.281834293617
"S1","correct",0.1,0,11,1.00746314508919,1.02125061295004,1291.82524675812,156.689094194273
"S1","correct",0.1,0,12,1.00567267952747,1.01429749084212,1175.1065506768,221.708731272435
"S1","correct",0.1,0,13,1.01230194263386,1.02368767389611,1123.10049368946,159.448437888286
"S1","correct",0.1,0,14,1.01286441435414,1.05352872793416,1132.79192851276,80.0332392357478
"S1","correct",0.1,0,15,1.00415059439439,1.00946133424509,1673.16775401816,175.11853466544
"S1","correct",0.1,0,16,1.01358754158444,1.0509743140488,867.793891386417,68.1670357486995
"S1","correct",0.1,0,17,1.0078226535297,1.01395760511438,1103.51237284084,258.114671831103
"S1","correct",0.1,0,18,1.00791988203725,1.02852239554706,1149.19145131676,96.5143659608515
"S1","correct",0.1,0,19,1.0060324404123,1.01412697848497,1275.79622003015,329.456150092393
"S1","correct",0.1,0,20,1.01212262314236,1.05214470033294,1341.27498795017,79.4752115268044
"S2","correct",0.3,0.2,1,1.00361938009658,1.01127578360492,1454.43587427669,178.342630714086
"S2","correct",0.3,0.2,2,1.00539068518153,1.01517640553608,911.849710953871,253.371777149635
"S2","correct",0.3,0.2,3,1.00462765516293,1.00888823973856,1324.48208852903,407.628589134144
"S2","correct",0.3,0.2,4,1.00710293999843,1.0330525321636,903.429792386864,148.09916905684
"S2","correct",0.3,0.2,5,1.00905920471636,1.01797749467475,630.481145087782,207.009012927863
"S2","correct",0.3,0.2,6,1.00953435241531,1.03690796320147,879.355020589617,209.587086022301
"S2","correct",0.3,0.2,7,1.01212388008629,1.0325216286685,879.484413097066,178.785810090754
"S2","correct",0.3,0.2,8,1.00962480083519,1.02839284600077,1119.52860240174,172.774918866005
"S2","correct",0.3,0.2,9,1.00492924603908,1.01419648866638,1252.7662687908,189.117422476159
"S2","correct",0.3,0.2,10,1.00851747383362,1.02578953923996,1216.73850191746,165.732288108843
"S2","correct",0.3,0.2,11,1.00591408725219,1.01851628648929,890.673650005834,183.195423443183
"S2","correct",0.3,0.2,12,1.01239935553722,1.0388718591923,733.852686928345,162.706252158642
"S2","correct",0.3,0.2,13,1.00856097525816,1.02185761075404,664.689983398434,157.801384087005
"S2","correct",0.3,0.2,14,1.00241535476814,1.00581839832831,873.532614196227,279.700058061565
"S2","correct",0.3,0.2,15,1.01082070663473,1.04460470760313,680.5871467186,72.0602135857047
"S2","correct",0.3,0.2,16,1.0062434359243,1.01534717386405,1053.73572378867,324.789305053843
"S2","correct",0.3,0.2,17,1.00895683754348,1.04153912194317,1106.25052244812,260.578503561211
"S2","correct",0.3,0.2,18,1.00306825016164,1.00535165380036,1083.85560771835,291.583470001072
"S2","correct",0.3,0.2,19,1.00976941406039,1.0239869385384,905.293172357241,276.671443338183
"S2","correct",0.3,0.2,20,1.00579998216294,1.02749992652097,956.604099127149,190.208044589967
"S3","misspecified",0.1,0,1,1.00497750846732,1.01261478568758,1341.8965967768,278.329609129314
"S3","misspecified",0.1,0,2,1.01058935868952,1.03229451104648,1522.99331148882,139.344850346739
"S3","misspecified",0.1,0,3,1.00584218578145,1.01398918588801,1379.03141447693,268.375940956459
"S3","misspecified",0.1,0,4,1.00801253394723,1.0220556982883,1232.70396607264,126.646789464716
"S3","misspecified",0.1,0,5,1.00949196313888,1.04000424762569,1255.51929917112,147.42815636504
"S3","misspecified",0.1,0,6,1.00814185945787,1.02551489004947,1400.04138701833,114.653734497821
"S3","misspecified",0.1,0,7,1.03581454195614,1.07309840896099,652.078645189758,64.85048121241
"S3","misspecified",0.1,0,8,1.00452951489123,1.01115726663001,2241.70474585227,271.005977787206
"S3","misspecified",0.1,0,9,1.00825307773595,1.02407005492135,1284.10589161737,94.0018735540501
"S3","misspecified",0.1,0,10,1.00995410177311,1.03768786849374,1410.84739690338,146.020078447297
"S3","misspecified",0.1,0,11,1.00627731344476,1.03604014064117,1077.14903542074,176.681091537014
"S3","misspecified",0.1,0,12,1.01300730323431,1.02612271728009,1490.69891712743,154.114663927931
"S3","misspecified",0.1,0,13,1.01112720781085,1.02774914802787,1424.1310237348,135.641292340562
"S3","misspecified",0.1,0,14,1.00500640945056,1.01241821520859,1348.4477047479,307.160327965392
"S3","misspecified",0.1,0,15,1.00406487280181,1.00956340236624,1541.14852093744,340.593113788266
"S3","misspecified",0.1,0,16,1.00570571991921,1.01573289696542,1399.56205118322,204.192524625442
"S3","misspecified",0.1,0,17,1.00463815780755,1.00974968887837,1721.07422598086,169.088761405775
"S3","misspecified",0.1,0,18,1.00599766853269,1.02663987318047,984.903800767387,235.295368347727
"S3","misspecified",0.1,0,19,1.01703334497851,1.04214400730826,1019.76269885969,90.3132136653101
"S3","misspecified",0.1,0,20,1.00510590761967,1.01797907422336,1949.94067099257,175.206515225214
"S4","misspecified",0.3,0.2,1,1.00874023205349,1.0164541999573,1038.97399981874,149.410395412791
"S4","misspecified",0.3,0.2,2,1.01051369396872,1.02831795273376,839.813515116551,107.7589210185
"S4","misspecified",0.3,0.2,3,1.00888522124852,1.02502293197263,1063.66817312117,128.83199641408
"S4","misspecified",0.3,0.2,4,1.0076566847023,1.02118698564696,998.947064091781,210.024732919406
"S4","misspecified",0.3,0.2,5,1.00449459417562,1.02644312456097,1170.60341692446,220.847000270109
"S4","misspecified",0.3,0.2,6,1.00955857576534,1.02865056217601,967.55081994196,123.784742456685
"S4","misspecified",0.3,0.2,7,1.01374971281039,1.04024679837929,893.5439459394,152.944195762062
"S4","misspecified",0.3,0.2,8,1.00883774370197,1.02799272347533,1140.45618611003,215.793410235922
"S4","misspecified",0.3,0.2,9,1.01596646130157,1.06438788955238,710.332441277214,101.527099619957
"S4","misspecified",0.3,0.2,10,1.00762383114233,1.02922058217964,1198.05878328936,186.802439150013
"S4","misspecified",0.3,0.2,11,1.00386747118405,1.01260816168474,960.892264678541,242.732120470131
"S4","misspecified",0.3,0.2,12,1.00965878283905,1.02796820302368,1138.02870000116,196.485606529114
"S4","misspecified",0.3,0.2,13,1.01287819411814,1.02705072168196,805.359646534146,192.392098479629
"S4","misspecified",0.3,0.2,14,1.00413429529054,1.01929507345814,1351.21400540439,209.609236817096
"S4","misspecified",0.3,0.2,15,1.00712635886211,1.021215605743,1092.57809308084,248.630128657641
"S4","misspecified",0.3,0.2,16,1.00792196853093,1.02968149807361,1151.13580618932,189.809532479322
"S4","misspecified",0.3,0.2,17,1.00916799233602,1.04815096660229,1101.3206512481,90.919135492011
"S4","misspecified",0.3,0.2,18,1.01120762193493,1.04088023439525,1282.44991856928,243.881130899375
"S4","misspecified",0.3,0.2,19,1.00443524361762,1.01268939107956,1323.61297373617,238.010624924313
"S4","misspecified",0.3,0.2,20,1.00461074294702,1.0132455362381,1223.73190433689,305.707320169941
